"","Date","Corn_Cal_Spread","Corn_Cal_Spread_Perc","Soy_Cal_Spread","Soy_Cal_Spread_Perc"
"63",2000-03-31,-8.5,-0.0360169491525424,-12,-0.0219981668194317
"64",2000-04-03,-8.5,-0.0362860192102455,-12,-0.0219579139981702
"65",2000-04-04,-8.75,-0.0377155172413793,-11.5,-0.021355617455896
"66",2000-04-05,-8.75,-0.0377155172413793,-12,-0.0220994475138122
"67",2000-04-06,-8.75,-0.0385462555066079,-12,-0.0225988700564972
"68",2000-04-07,-8.5,-0.0370774263904035,-12.25,-0.022737819025522
"69",2000-04-10,-8.5,-0.0374449339207048,-12,-0.0225563909774436
"70",2000-04-11,-8.5,-0.038073908174692,-11.5,-0.021780303030303
"71",2000-04-12,-8.5,-0.0376940133037694,-12,-0.0223255813953488
"72",2000-04-13,-8.75,-0.0384615384615385,-12.5,-0.02322340919647
"73",2000-04-14,-8.75,-0.0386740331491713,-12,-0.0225352112676056
"74",2000-04-17,-8.5,-0.0379464285714286,-12.5,-0.0235183443085607
"75",2000-04-18,-9,-0.0400890868596882,-13,-0.0243445692883895
"76",2000-04-19,-9,-0.0395170142700329,-13.25,-0.0246511627906977
"77",2000-04-20,-9,-0.0396912899669239,-12.75,-0.0237762237762238
"78",2000-04-24,-8.75,-0.0383771929824561,-13,-0.0238970588235294
"79",2000-04-25,-9,-0.0390455531453362,-13.5,-0.0248618784530387
"80",2000-04-26,-9,-0.0395604395604396,-13,-0.024062933826932
"81",2000-04-27,-9,-0.0399556048834628,-12.5,-0.0234741784037559
"82",2000-04-28,-8.25,-0.0368715083798883,-12.75,-0.0242165242165242
"83",2000-05-01,-8.5,-0.0360934182590234,-12.75,-0.022972972972973
"84",2000-05-02,-8.75,-0.0368421052631579,-11.25,-0.020297699594046
"85",2000-05-03,-9,-0.0372285418821096,-11.25,-0.0200624164065983
"86",2000-05-04,-8,-0.0330237358101135,-11.25,-0.0200534759358289
"87",2000-05-05,-8,-0.0332986472424558,-11,-0.0198198198198198
"88",2000-05-08,-7.75,-0.0332261521972133,-11.75,-0.0214709913202376
"89",2000-05-09,-7.75,-0.0335497835497836,-10.75,-0.0197157267308574
"90",2000-05-10,-7.5,-0.0316789862724393,-10,-0.0178571428571429
"91",2000-05-11,-7,-0.0294426919032597,-9.5,-0.016994633273703
"92",2000-05-12,-8,-0.0325534079348932,-3.75,-0.0066283694211224
"93",2000-05-15,-8.5,-0.0356020942408377,-3.5,-0.00636653024101864
"94",2000-05-16,-8.25,-0.035031847133758,-3.75,-0.00689655172413793
"95",2000-05-17,-7.75,-0.0329087048832272,-3.25,-0.00600461893764434
"96",2000-05-18,-8.25,-0.0346638655462185,-2.75,-0.00502053856686445
"97",2000-05-19,-8.5,-0.0354166666666667,-2.5,-0.00450856627592426
"98",2000-05-22,-8.5,-0.0352697095435685,-3,-0.0054249547920434
"99",2000-05-23,-8.5,-0.0356768100734523,-3.25,-0.00592255125284738
"100",2000-05-24,-8,-0.0340425531914894,-3,-0.00553250345781466
"101",2000-05-25,-8.75,-0.0379609544468547,-2.25,-0.0042674253200569
"102",2000-05-26,-8.75,-0.0374732334047109,-2,-0.00374356574637342
"103",2000-05-30,-8.75,-0.0390189520624303,-1.75,-0.00338491295938104
"104",2000-05-31,-8,-0.0355555555555556,-2,-0.00386473429951691
"105",2000-06-01,-8.25,-0.0365853658536585,-2.25,-0.00430622009569378
"106",2000-06-02,-8.75,-0.0382096069868996,-2,-0.00374707259953162
"107",2000-06-05,-8.75,-0.0390189520624303,-2.25,-0.00425129900803023
"108",2000-06-06,-8.25,-0.0365448504983389,-2.75,-0.00518378887841659
